abandon	abandonment
graze	graze
grease	grease
grimace	grimace
grime	grime
grind	grind
grin	grin
gripe	gripe
grip	grip
groan	groan
grope	grope
growl	growl
grudge	grudge
grumble	grumble
grunt	grunt
guarantee	guarantee
guard	guard
guess	guess
guesstimate	guesstimate
guffaw	guffaw
guide	guidance
gulp	gulp
gun	gun
gurgle	gurgle
gush	gush
gyp	gyp
gyrate	gyration
haemagglutinate	haemagglutination
haggle	haggle
hail	hail
halloo	halloo
hallucinate	hallucination
halt	halt
ham	ham
hand	hand
handicap	handicap
hand_over	handover
hap	hap
harangue	harangue
harass	harassment
harbinger	harbinger
harm	harm
harmonise	harmonisation
harmonize	harmonization
harvest	harvest
hassle	hassle
hatch	hatch
hate	hate
haul	haul
hazard	hazard
haze	haze
head	head
heap	heap
heat	heat
heave	heave
heed	heed
hee-haw	hee-haw
heist	heist
help	help
hemagglutinate	hemagglutination
hemorrhage	hemorrhage
herald	herald
hesitate	hesitation
hibernate	hibernation
hiccough	hiccough
hiccup	hiccup
highjack	highjack
hijack	hijack
hike	hike
hint	hint
hiss	hiss
hitch	hitch
hit	hit
hobble	hobble
hold	hold
holiday	holiday
holler	holler
hollo	hollo
homer	homer
homogenise	homogenisation
homogenize	homogenization
honeymoon	honeymoon
honk	honk
honor	honor
honour	honour
hook	hook
hoot	hoot
hope	hope
hop	hop
horripilate	horripilation
hospitalise	hospitalisation
hospitalize	hospitalization
howl	howl
hugger_mugger	hugger-mugger
hug	hug
humanise	humanisation
humanize	humanization
humbug	humbug
hum	hum
humiliate	humiliation
hunch	hunch
hunger	hunger
hunt	hunt
hurdle	hurdle
hurl	hurl
hurry	hurry
hurt	hurt
hush	hush
hustle	hustle
hybridise	hybridisation
hybridize	hybridization
hydrate	hydration
hydrogenate	hydrogenation
hyperextend	hyperextension
hypertrophy	hypertrophy
hyperventilate	hyperventilation
hyphenate	hyphenation
hypostatise	hypostatisation
hypostatize	hypostatization
idealise	idealisation
idealize	idealization
ideate	ideation
identify	identification
idolise	idolisation
idolize	idolization
ignite	ignition
ignore	ignorance
ill-treat	ill-treatment
illuminate	illumination
illustrate	illustration
image	image
imagine	imagination
imbibe	imbibition
imbricate	imbrication
imitate	imitation
immerse	immersion
immigrate	immigration
immobilise	immobilisation
immobilize	immobilization
immolate	immolation
immunize	immunization
immure	immurement
impact	impact
impact	impaction
impair	impairment
impale	impalement
impart	impartation
impel	impulsion
impend	impendence
impersonate	impersonation
impinge	impingement
implant	implantation
implement	implementation
implicate	implication
implode	implosion
imply	implication
import	importation
impose	imposition
impound	impoundment
impoverish	impoverishment
imprecate	imprecation
impregnate	impregnation
impress	impress
impress	impression
impress	impressment
imprison	imprisonment
improve	improvement
improvise	improvisation
impute	imputation
inactivate	inactivation
inaugurate	inauguration
incandesce	incandescence
incarcerate	incarceration
incarnate	incarnation
incase	incasement
incinerate	incineration
incise	incision
incite	incitation
incite	incitement
incline	inclination
include	inclusion
inconvenience	inconvenience
incorporate	incorporation
increase	increase
incriminate	incrimination
incrust	incrustation
incubate	incubation
inculcate	inculcation
inculpate	inculpation
incur	incurrence
incur	incursion
incurvate	incurvation
indemnify	indemnification
indemnify	indemnity
indent	indentation
indicate	indication
indict	indictment
indispose	indisposition
individualise	individualisation
individualize	individualization
individuate	individuation
indoctrinate	indoctrination
indorse	indorsement
induce	inducement
induce	induction
induct	induction
indulge	indulgence
indurate	induration
industrialise	industrialisation
industrialize	industrialization
indwell	indweller
inebriate	inebriation
infatuate	infatuation
infect	infection
infer	inference
infest	infestation
infiltrate	infiltration
inflame	inflammation
inflate	inflation
inflect	inflection
inflect	inflexion
inflict	infliction
influence	influence
infract	infraction
infringe	infringement
infuriate	infuriation
infuse	infusion
ingest	ingestion
inhabit	inhabitation
inhale	inhalation
inhere	inherence
inherit	inheritance
inhibit	inhibition
inhume	inhumation
initiate	initiation
inject	injection
innervate	innervation
innovate	innovation
inoculate	inoculation
inosculate	inosculation
inscribe	inscription
inseminate	insemination
insert	insertion
insinuate	insinuation
insist	insistence
insolate	insolation
inspect	inspection
inspire	inspiration
inspissate	inspissation
instal	instalment
install	installation
install	installment
instance	instance
instantiate	instance
instantiate	instantiation
instigate	instigation
instil	instilment
instill	instillation
instill	instillment
institute	institution
instruct	instruction
instrument	instrument
instrument	instrumentation
insufflate	insufflation
insulate	insulation
insult	insult
integrate	integration
intend	intention
intensify	intensification
interact	interaction
intercede	intercession
intercept	interception
interchange	interchange
intercommunicate	intercommunication
interconnect	interconnection
interdepend	interdependence
interdict	interdict
interdict	interdiction
interest	interest
interfere	interference
inter	interment
interject	interjection
interlock	interlock
interlude	interlude
intermediate	intermediation
intermit	intermission
internationalise	internationalisation
internationalize	internationalization
intern	internment
interpellate	interpellation
interpenetrate	interpenetration
interpolate	interpolation
interpose	interposition
interpret	interpretation
interrelate	interrelation
interrogate	interrogation
interrupt	interruption
intersect	intersection
intersperse	interspersal
intersperse	interspersion
intervene	intervention
interview	interview
intimate	intimation
intimidate	intimidation
intonate	intonation
intone	intonation
intoxicate	intoxication
introduce	introduction
introject	introjection
intromit	intromission
introspect	introspection
introvert	introversion
intrude	intrusion
intubate	intubation
intuit	intuition
intumesce	intumescence
intussuscept	intussusception
inunct	inunction
inundate	inundation
invade	invasion
invaginate	invagination
invalidate	invalidation
invent	invention
invert	inversion
investigate	investigation
invest	investment
invigilate	invigilation
invigorate	invigoration
invite	invitation
invite	invite
invoke	invocation
involve	involution
involve	involvement
iodise	iodination
iodize	iodination
ionise	ionisation
ionize	ionization
irradiate	irradiation
irrigate	irrigation
irritate	irritation
irrupt	irruption
isolate	isolation
isomerise	isomerisation
isomerize	isomerization
issue	issue
itch	itch
itemise	itemisation
itemize	itemization
iterate	iteration
jabber	jabber
jab	jab
jackknife	jackknife
jactitate	jactitation
jam	jam
jangle	jangle
jar	jar
jaundice	jaundice
jaunt	jaunt
jeer	jeer
jerk	jerk
jest	jest
jet	jet
jiggle	jiggle
jig	jig
jingle	jingle
jitterbug	jitterbug
jive	jive
job	job
joggle	joggle
jog	jog
join	junction
joke	joke
jollify	jollification
jolly	jolly
jolt	jolt
jostle	jostle
journey	journey
joust	joust
joy	joy
joyride	joyride
jubilate	jubilation
jubilate	jubilee
judge	judge
judge	judgment
juggle	juggle
jumble	jumble
jump	jump
junket	junket
justify	justification
juxtapose	juxtaposition
keen	keen
keratinise	keratinisation
keratinize	keratinization
kick	kick
kill	kill
kip	kip
kiss	kiss
kneel	kneel
knell	knell
knock	knock
kowtow	kowtow
labor	labor
labour	labour
lacerate	laceration
lack	lack
lactate	lactation
lag	lag
lament	lament
lament	lamentation
laminate	lamination
lam	lam
lampoon	lampoon
lapidate	lapidation
lap	lap
lapse	lapse
lark	lark
lash	lash
laugh	laugh
launch	launch
lave	lavation
lay_over	layover
leach	leach
lead	lead
leak	leak
lean	leaner
leapfrog	leapfrog
leap	leap
lease	lease
leave	leave
lecture	lecture
leer	leer
legalise	legalisation
legalize	legalization
legislate	legislation
legitimate	legitimation
leverage	leverage
levitate	levitation
levy	levy
lexicalize	lexicalization
libel	libel
liberalise	liberalisation
liberalize	liberalization
liberate	liberation
librate	libration
licence	licence
license	license
lick	lick
lie	lie
lift	lift
ligate	ligation
light	light
limit	limit
limit	limitation
limp	limp
line	line
line	lineation
link	link
liquefy	liquefaction
liquidate	liquidation
lisp	lisp
litigate	litigation
loan	loan
lob	lob
localise	localisation
localize	localization
locate	location
lock	lock
locomote	locomotion
lodge	lodgement
look	look
loop	loop
lope	lope
love	love
lubricate	lubrication
luff	luff
lull	lull
luminesce	luminescence
lunch	lunch
lunge	lunge
lurch	lurch
lust	lust
luxate	luxation
lyophilise	lyophilisation
lyophilize	lyophilization
lysogenize	lysogenization
macerate	maceration
maculate	maculation
magnetise	magnetisation
magnetize	magnetization
magnify	magnification
maintain	maintenance
make_over	makeover
maledict	malediction
malfunction	malfunction
malign	malignment
maltreat	maltreatment
malversate	malversation
manage	management
mandate	mandate
maneuver	maneuver
manicure	manicure
manifest	manifestation
manipulate	manipulation
manoeuvre	manoeuvre
manufacture	manufacture
manumit	manumission
map	map
maraud	maraud
march	march
marginalise	marginalisation
marginalize	marginalization
market	market
marvel	marvel
masculinize	masculinization
mask	mask
masquerade	masquerade
massacre	massacre
massage	massage
masticate	mastication
masturbate	masturbation
match	match
mate	mate
materialise	materialisation
materialize	materialization
matriculate	matriculation
matter	matter
maturate	maturation
mature	maturation
mature	maturement
maximise	maximisation
maximize	maximization
meander	meander
measure	measure
measure	measurement
mechanise	mechanisation
mechanize	mechanization
mediate	mediation
medicate	medication
medicine	medicine
meditate	meditation
meet	meet
meld	meld
meliorate	melioration
melt	melt
memorialise	memorialisation
memorialize	memorialization
memorise	memorisation
memorize	memorization
mend	mend
menstruate	menstruation
mensurate	mensuration
mention	mention
meow	meow
merge	merger
mesh	mesh
mess	mess
metricate	metrication
metrify	metrification
mew	mew
miaou	miaou
miaow	miaow
micturate	micturition
miff	miff
migrate	migration
mildew	mildew
militarise	militarisation
militarize	militarization
mill	mill
mime	mime
mind	mind
mine	mine
miniaturise	miniaturisation
miniaturize	miniaturization
minimise	minimisation
minimize	minimization
minister	ministration
misally	misalliance
misapply	misapplication
misapprehend	misapprehension
misappropriate	misappropriation
misbehave	misbehavior
miscalculate	miscalculation
miscegenate	miscegenation
misconceive	misconception
misconduct	misconduct
misconstrue	misconstrual
miscount	miscount
misdeal	misdeal
misestimate	misestimation
misfire	misfire
misinterpret	misinterpretation
misplay	misplay
misprint	misprint
mispronounce	mispronunciation
misquote	misquotation
misrepresent	misrepresentation
miss	miss
mistake	mistake
mistranslate	mistranslation
mistreat	mistreatment
mistrust	mistrust
misuse	misuse
mitigate	mitigation
mix	mix
mizzle	mizzle
moan	moan
mobilise	mobilisation
mobilize	mobilization
mob	mob
mock	mock
model	model
moderate	moderation
modernise	modernisation
modernize	modernization
modify	modification
modulate	modulation
mold	mold
molest	molestation
mollify	mollification
molt	molt
monetise	monetisation
monetize	monetization
monopolise	monopolisation
monopolize	monopolization
moo	moo
mop_up	mop_up
moralise	moralisation
moralize	moralization
mortify	mortification
motivate	motivation
motivate	motivator
motorise	motorisation
motorize	motorization
moult	moult
mount	mount
mouth	mouth
move	motion
move	move
move	movement
muddle	muddle
muff	muff
mulct	mulct
multiply	multiplication
mummify	mummification
munch	munch
murder	murder
murk	murk
murmur	murmur
murmur	murmuration
mussitate	mussitation
muss	muss
muster	muster
mutate	mutation
mutilate	mutilation
mutiny	mutineer
mutiny	mutiny
mutter	mutter
mystify	mystification
mythologise	mythologisation
mythologize	mythologization
nap	nap
narrate	narration
nasalise	nasalisation
nasalize	nasalization
nationalise	nationalisation
nationalize	nationalization
naturalise	naturalisation
naturalize	naturalization
navigate	navigation
need	need
negate	negation
negative	negative
neglect	neglect
negotiate	negotiation
neigh	neigh
nestle	nestle
neutralise	neutralisation
neutralize	neutralization
nibble	nibble
nicker	nicker
nick	nick
nictate	nictation
nictitate	nictitation
nip	nip
nitrify	nitrification
nod	nod
noise	noise
nominate	nomination
normalise	normalisation
normalize	normalization
nose	nose
nosh	nosh
notate	notation
note	note
notice	notice
notify	notice
notify	notification
nourish	nourishment
novate	novation
novelise	novelisation
novelize	novelization
nudge	nudge
nullify	nullification
number	number
numerate	numeration
nurture	nurture
nutate	nutation
nutrify	nutrition
obey	obedience
obey	obeisance
obfuscate	obfuscation
objectify	objectification
object	objection
objurgate	objurgation
obligate	obligation
obliterate	obliteration
observe	observance
observe	observation
obsess	obsession
obsolesce	obsolescence
obstinate	obstinance
obstipate	obstipation
obstruct	obstruction
obtain	obtainment
obtain	obtention
obviate	obviation
occasion	occasion
occlude	occlusion
occupy	occupation
offend	offence
offer	offer
officiate	officiation
ooze	ooze
opacify	opacification
open	opener
operate	operation
opine	opinion
oppose	opposition
oppress	oppression
opsonize	opsonisation
opsonize	opsonization
optimise	optimisation
optimize	optimization
opt	option
orbit	orbit
orchestrate	orchestration
ordain	ordinance
order	order
organise	organisation
organize	organization
originate	origination
ornament	ornamentation
oscillate	oscillation
osculate	osculation
ossify	ossification
ostentate	ostentation
outcry	outcry
output	output
outrage	outrage
overachieve	overachievement
overbid	overbid
overcapitalise	overcapitalisation
overcapitalize	overcapitalization
overcast	overcast
overcharge	overcharge
overcompensate	overcompensation
overdrive	overdrive
overestimate	overestimate
overestimate	overestimation
overexert	overexertion
overexploit	overexploitation
overflow	overflow
overhaul	overhaul
overindulge	overindulgence
overlap	overlap
overpay	overpayment
overpopulate	overpopulation
overproduce	overproduction
overprotect	overprotection
overreact	overreaction
overrefine	overrefinement
override	override
overrun	overrun
overshoot	overshoot
oversimplify	oversimplification
overstate	overstatement
overstrain	overstrain
overthrow	overthrow
overturn	overturn
overuse	overuse
overvalue	overvaluation
overwork	overwork
ovulate	ovulation
oxidate	oxidation
oxidise	oxidisation
oxidize	oxidization
oxygenate	oxygenation
pace	pace
pacify	pacification
pacify	peace
paginate	pagination
pain	pain
pair	pair
palaver	palaver
palliate	palliation
pall	pall
palpate	palpation
palpebrate	palpebration
palpitate	palpitation
palsy	palsy
panic	panic
pantomime	pantomime
pant	pant
parade	parade
paragraph	paragraph
paraphrase	paraphrase
parcel	parcellation
pardon	pardon
parley	parley
parody	parody
parole	parole
par	par
parry	parry
participate	participation
particularise	particularisation
particularize	particularization
partition	partition
party	party
pass	pass
pasteurise	pasteurisation
pasteurize	pasteurization
pat	pat
patrol	patrol
patronage	patronage
pattern	pattern
patter	patter
pauperise	pauperisation
pauperize	pauperization
pause	pause
pawn	pawn
pay	payment
peak	peak
peal	peal
peculate	peculation
pedal	pedal
pedicure	pedicure
peek	peek
pee	pee
peep	peep
penalise	penalisation
penalize	penalization
penetrate	penetration
pension	pension
peptise	peptisation
peptize	peptization
perambulate	perambulation
perceive	perception
percolate	percolation
percuss	percussion
peregrinate	peregrination
perennate	perennation
perfect	perfection
perforate	perforation
perform	performance
perfuse	perfusion
peril	peril
permeate	permeation
permit	permission
permit	permit
permute	permutation
perorate	peroration
perpetrate	perpetration
perpetuate	perpetuation
persecute	persecution
perseverate	perseveration
persevere	perseverance
persevere	perseveration
persist	persistence
personate	personation
personify	persona
personify	personification
perspire	perspiration
persuade	persuasion
perturb	perturbation
peruse	perusal
pervade	pervasion
pervaporate	pervaporation
pervert	perversion
petition	petition
petrify	petrifaction
petrify	petrification
phase	phase
phonate	phonation
phosphoresce	phosphorescence
pick	pick
picnic	picnic
piffle	piffle
pigment	pigmentation
pinch	pinch
ping	ping
pique	pique
pitch	pitch
pitter-patter	pitter-patter
pity	pity
pivot	pivot
placate	placation
place	place
plagiarise	plagiarisation
plagiarize	plagiarization
plague	plague
plane	planation
plash	plash
plastinate	plastination
play	play
pledge	pledge
plicate	plication
plight	plight
plonk	plonk
plop	plop
plot	plot
pluck	pluck
plug	plug
plump	plump
plunge	plunge
plunk	plunk
poise	poise
poke	poke
polarise	polarisation
polarize	polarization
polish	polish
pollenate	pollenation
pollinate	pollination
poll	poll
pollute	pollution
polymerise	polymerisation
polymerize	polymerization
pool	pool
pop	pop
popularise	popularisation
popularize	popularization
populate	population
portray	portrayal
pose	pose
position	position
posit	position
possess	possession
postpone	postponement
postpose	postposition
post	post
postulate	postulation
posture	posture
potentiate	potentiation
pother	pother
pounce	pounce
pound	pound
pout	pout
power	power
powwow	powwow
practice	practice
praise	praise
prance	prance
prate	prate
prattle	prattle
pray	prayer
preachify	preachification
preamble	preamble
precede	precedence
precede	precession
precipitate	precipitation
precis	precis
preclude	preclusion
precondition	precondition
predate	predation
predestine	predestination
predetermine	predetermination
predicate	predication
predict	prediction
predominate	predominance
predominate	predomination
preempt	preemption
preexist	preexistence
prefabricate	prefabrication
prefer	preference
prefer	preferment
prefigure	prefiguration
prefix	prefixation
prehend	prehension
prejudge	prejudgement
premeditate	premeditation
premiere	premiere
preoccupy	preoccupation
prepare	preparation
prepay	prepayment
prepose	preposition
prepossess	prepossession
present	presentation
present	presentment
preserve	preservation
press	press
pressure	pressure
presume	presumption
presuppose	presupposition
pretend	pretend
pretend	pretension
pretermit	pretermission
prevaricate	prevarication
prevent	prevention
preview	preview
previse	prevision
prick	prick
pride	pride
prizefight	prizefight
probate	probate
probate	probation
probe	probe
proceed	procession
process	process
proclaim	proclamation
procrastinate	procrastination
procreate	procreation
procure	procural
procure	procurance
procure	procurement
produce	production
profane	profanation
professionalize	professionalization
profess	profession
proffer	proffer
profit	profit
prognosticate	prognostication
progress	progress
progress	progression
prohibit	prohibition
project	project
project	projection
prolapse	prolapse
proliferate	proliferation
prolong	prolongation
promenade	promenade
promise	promise
promote	promotion
prompt	prompt
promulgate	promulgation
pronate	pronation
pronounce	pronouncement
propagate	propagation
propel	propulsion
propitiate	propitiation
propose	proposal
propose	proposition
proposition	proposition
prorate	proration
prorogue	prorogation
proscribe	proscription
prosecute	prosecution
prospect	prospect
prostitute	prostitution
prostrate	prostration
protect	protection
protest	protest
protest	protestation
protract	protraction
protrude	protrusion
provide	provision
provision	provision
provoke	provocation
prowl	prowl
publish	publication
puff	puff
pull	pull
pullulate	pullulation
pulsate	pulsation
pulse	pulse
pulverise	pulverisation
pulverize	pulverization
punch	punch
punctuate	punctuation
puncture	puncture
punish	punishment
pun	pun
punt	punt
purchase	purchase
purge	purgation
purge	purge
purify	purification
purl	purl
purpose	purpose
purr	purr
pursue	pursuance
purvey	purveyance
push_back	push_back
push	push
putrefy	putrefaction
putt	putt
puzzle	puzzle
quack	quack
quaff	quaff
quake	quake
qualify	qualification
qualify	qualifying
quantify	quantification
quantise	quantisation
quantize	quantization
quarantine	quarantine
quarrel	quarrel
quaver	quaver
query	query
question	question
quest	quest
quibble	quibble
quickstep	quickstep
quiet	quiet
quip	quip
quiver	quiver
quiz	quiz
quote	quotation
quote	quote
race	race
racket	racket
rack	rack
radiate	radiance
radiate	radiation
raffle	raffle
rage	rage
rag	rag
raid	raid
rain	rain
raise	raise
rally	rally
ramble	ramble
ramify	ramification
rampage	rampage
randomise	randomisation
randomize	randomization
range	range
ransom	ransom
rant	rant
rape	rape
rap	rap
rarefy	rarefaction
rasp	rasp
ratify	ratification
ratiocinate	ratiocination
rationalise	rationalisation
rationalize	rationalization
ration	ration
rattle	rattle
ravage	ravage
ravel	ravel
rave	rave
ravish	ravishment
ray	ray
reabsorb	reabsorption
reach	reach
react	reaction
readjust	readjustment
readmit	readmission
ready	ready
reaffirm	reaffirmation
re-afforest	re-afforestation
realise	realisation
realize	realization
reallocate	reallocation
reallot	reallotment
reappear	reappearance
reapportion	reapportionment
reappraise	reappraisal
rearm	rearmament
rearrange	rearrangement
reason	reason
reassert	reassertion
reassess	reassessment
reassign	reassignment
reassure	reassurance
rebate	rebate
rebel	rebellion
rebound	rebound
rebuff	rebuff
rebuke	rebuke
rebury	reburial
rebut	rebuttal
recalculate	recalculation
recall	recall
recant	recantation
recapitulate	recapitulation
recap	recap
recapture	recapture
recede	recession
receipt	receipt
receive	reception
recess	recess
reciprocate	reciprocation
recite	recital
recite	recitation
reclaim	reclamation
recognize	recognition
recoil	recoil
recollect	recollection
recombine	recombination
recommence	recommencement
recompense	recompense
reconcile	reconciliation
reconnoiter	reconnaissance
reconnoitre	reconnaissance
reconsider	reconsideration
reconstruct	reconstruction
recount	recount
re-create	re-creation
recreate	recreation
recrudesce	recrudescence
recruit	recruitment
rectify	rectification
recuperate	recuperation
recur	recurrence
recuse	recusal
recuse	recusation
redact	redaction
rededicate	rededication
redeem	redemption
redefine	redefinition
redeploy	redeployment
redeposit	redeposition
redetermine	redetermination
redevelop	redevelopment
redispose	redisposition
redistribute	redistribution
redress	redress
reduce	reduction
reek	reek
reelect	reelection
reenforce	reenforcement
reevaluate	reevaluation
reexamine	reexamination
refer	reference
refer	referral
refine	refinement
reflate	reflation
reforest	reforestation
reform	reform
reform	reformation
refract	refraction
refresh	refreshment
refrigerate	refrigeration
refund	refund
refurbish	refurbishment
refuse	refusal
refute	refutation
regard	regard
regenerate	regeneration
regiment	regimentation
register	registration
regress	regress
regress	regression
regret	regret
regularise	regularisation
regularize	regularization
regulate	regulation
regurgitate	regurgitation
rehabilitate	rehabilitation
rehearse	rehearsal
reify	reification
reign	reign
reimpose	reimposition
reincarnate	reincarnation
reinforce	reinforcement
reinstate	reinstatement
reinsure	reinsurance
reinterpret	reinterpretation
reintroduce	reintroduction
reiterate	reiteration
reject	rejection
rejuvenate	rejuvenation
relapse	relapse
relate	relation
relax	relaxation
relay	relay
release	release
relegate	relegation
relinquish	relinquishment
relish	relish
relocate	relocation
rely	reliance
remake	remake
remand	remand
remark	remark
remediate	remediation
remedy	remedy
remember	remembrance
remilitarise	remilitarisation
remilitarize	remilitarization
reminisce	reminiscence
remit	remission
remit	remit
remit	remitment
remit	remittal
remit	remittance
remove	remotion
remove	removal
remunerate	remuneration
render	rendition
rendezvous	rendezvous
renege	renege
renew	renewal
renounce	renouncement
renounce	renunciation
renovate	renovation
rent	rent
rent	rental
reorganize	reorganization
reorient	reorientation
repair	repair
repair	reparation
repatriate	repatriation
repay	repayment
repeal	repeal
repeat	repeat
repeat	repetition
repent	repentance
replace	replacement
replay	replay
replenish	replenishment
replete	repletion
replicate	replication
reply	reply
report	report
repose	repose
reposit	reposition
repossess	repossession
reprehend	reprehension
represent	representation
repress	repression
reprieve	reprieve
reprimand	reprimand
reprint	reprint
reprobate	reprobation
reproduce	reproduction
reproof	reproof
reprove	reproval
republish	republication
repudiate	repudiation
repugn	repugnance
repulse	repulse
repulse	repulsion
repurchase	repurchase
repute	reputation
request	request
require	requisition
requisition	requisition
requite	requital
rerun	rerun
rescind	recission
rescind	rescission
rescue	rescue
research	research
resect	resection
resemble	resemblance
resent	resentment
reserve	reservation
resettle	resettlement
reship	reshipment
reshuffle	reshuffle
reside	residence
resign	resignation
resile	resilience
resist	resistance
resolve	resolution
resolve	resolve
resonate	resonance
resorb	resorption
resort	resort
respect	respect
respire	respiration
respite	respite
resplend	resplendence
restitute	restitution
restore	restoration
rest	rest
restrict	restriction
result	result
resume	resumption
resurge	resurgence
resurrect	resurrection
resuscitate	resuscitation
resuspend	resuspension
retail	retail
retain	retention
retake	retake
retaliate	retaliation
retard	retardation
retch	retch
rethink	rethink
reticulate	reticulation
retire	retirement
retort	retort
retract	retraction
retrench	retrenchment
retrieve	retrieval
retroflex	retroflection
retroflex	retroflexion
retrogress	retrogression
retrospect	retrospect
retrospect	retrospection
retrovert	retroversion
retry	retrial
return	return
reunify	reunification
reunify	reunion
reunite	reunion
revalue	revaluation
reveal	revelation
revel	revel
revenge	revenge
reverberate	reverberation
reverence	reverence
revere	reverence
reverse	reversal
reverse	reverse
revert	reversion
review	review
revise	revisal
revise	revise
revise	revision
revitalise	revitalisation
revitalize	revitalization
revive	revival
revivify	revivification
revoke	revocation
revoke	revoke
revolt	revolt
revolutionise	revolution
revolutionize	revolution
revolve	revolution
reward	reward
rhumba	rhumba
rhyme	rhyme
rib	rib
rick	rick
ricochet	ricochet
riddle	riddle
ride	ride
ridicule	ridicule
rid	riddance
riffle	riffle
riff	riff
right	right
rigidify	rigidification
rigidify	rigidifying
rig	rig
rime	rime
ring	ring
rinse	rinse
riot	riot
riposte	riposte
ripple	ripple
rip	rip
rise	rise
risk	risk
ritualize	ritual
roar	roar
roast	roast
rock	rock
roll_over	rollover
roll	roll
romance	romance
romanticise	romanticisation
romanticize	romanticization
romp	romp
rotate	rotation
rot	rot
round	round
rout	rout
row	row
rub	rub
rue	rue
ruff	ruff
ruggedise	ruggedisation
ruggedize	ruggedization
ruin	ruin
ruin	ruination
rule	rule
rumble	rumble
ruminate	rumination
rummage	rummage
rumor	rumor
rumour	rumour
rumpus	rumpus
run	run
rupture	rupture
rush	rush
rusticate	rustication
rustle	rustle
rust	rust
rut	rut
sabotage	sabotage
sack	sack
sacrifice	sacrifice
sail	sail
salaam	salaam
salivate	salivation
saltate	saltation
salute	salutation
salute	salute
salvage	salvage
salve	salvation
samba	samba
sample	sample
sanctify	sanctification
sanction	sanction
sanitate	sanitation
sanitise	sanitisation
sanitize	sanitization
saponify	saponification
sashay	sashay
satiate	satiation
satisfy	satisfaction
saturate	saturation
saunter	saunter
savor	savor
savour	savour
savvy	savvy
say	say
scald	scald
scamper	scamper
scam	scam
scandalise	scandal
scandalise	scandalisation
scandalize	scandal
scandalize	scandalization
scan	scan
scare	scare
scatter	scatter
scent	scent
schematise	schematisation
schematize	schematization
school	school
scintillate	scintillation
sclaff	sclaff
scoff	scoff
scorch	scorch
score	score
scowl	scowl
scrabble	scrabble
scramble	scramble
scrape	scrape
scrap	scrap
scrawl	scrawl
scream	scream
screech	screech
screw	screw
scribble	scribble
scrimmage	scrimmage
scrub	scrub
scrunch	scrunch
scruple	scruple
scud	scud
scuffle	scuffle
scuff	scuff
sculpture	sculpture
scurry	scurry
seal	seal
search	search
secede	secession
seclude	seclusion
second	second
second	secondment
secrete	secretion
sectionalise	sectionalisation
sectionalize	sectionalization
secularise	secularisation
secularize	secularization
sedate	sedation
sediment	sedimentation
seduce	seduction
segment	segmentation
segregate	segregation
select	selection
self-destroy	self-destruction
self-destruct	self-destruction
sell	sell
sense	sensation
sensitise	sensitisation
sensitize	sensitization
sentence	sentence
sentimentalise	sentimentalisation
sentimentalize	sentimentalization
separate	separation
sequence	sequence
sequester	sequestration
serenade	serenade
serialise	serialisation
serialize	serialization
serrate	serration
serve	serve
service	service
set	set
settle	settlement
sever	severance
sex	sex
shade	shade
shadow	shadow
shag	shag
shake	shake
shamble	shamble
shame	shame
shampoo	shampoo
shank	shank
shape	shape
share	share
shave	shave
shelter	shelter
shift	shift
shillyshally	shillyshally
shimmer	shimmer
shimmy	shimmy
ship	shipment
shipwreck	shipwreck
shirt	shirt
shit	shit
shiver	shiver
shock	shock
shoot	shoot
short	short
shout	shout
shove	shove
shower	shower
show	show
shriek	shriek
shrug	shrug
shudder	shudder
shuffle	shuffle
shy	shy
sibilate	sibilation
sigh	sigh
sight	sight
signalise	signalisation
signalize	signalization
signal	signal
sign	sign
silence	silence
simplify	simplification
simulate	simulation
singe	singe
single-foot	single-foot
single	single
singsong	singsong
sin	sin
sip	sip
sketch	sketch
skid	skid
skim	skim
skin-dive	skin-dive
skip	skip
skirl	skirl
skirmish	skirmish
skunk	skunk
slack	slack
slalom	slalom
slam_dance	slam_dance
slam	slam
slander	slander
slang	slang
slap	slap
slash	slash
slaughter	slaughter
sleep_over	sleepover
sleep	sleep
sleet	sleet
slice	slice
slide	slide
slight	slight
slip	slip
slumber	slumber
slump	slump
slur	slur
smack	smack
smack	smacker
smart	smart
smash	smash
smear	smear
smell	smell
smile	smile
smirch	smirch
smirk	smirk
smoke	smoke
smooch	smooch
smooth	smooth
smoulder	smoulder
smudge	smudge
smut	smut
snack	snack
snafu	snafu
snap	snap
snarl	snarl
snatch	snatch
sneer	sneer
sneeze	sneeze
snicker	snicker
snick	snick
sniffle	sniffle
sniff	sniff
snigger	snigger
snipe	snipe
snip	snip
snivel	snivel
snooker	snooker
snooze	snooze
snore	snore
snort	snort
snow	snow
snub	snub
snuffle	snuffle
snuff	snuff
snuggle	snuggle
soak	soak
soap	soap
soar	soar
sob	sob
socialise	socialisation
socialize	socialization
soil	soil
sojourn	sojourn
solace	solace
solarise	solarisation
solarize	solarization
solemnise	solemnisation
solemnize	solemnization
solicit	solicitation
solidify	solidification
solidify	solidifying
solmizate	solmization
solo	solo
solvate	solvation
solve	solution
somersault	somersault
somnambulate	somnambulation
sophisticate	sophistication
sorb	sorption
sorrow	sorrow
sort	sort
sound	sound
sour	sour
souse	souse
space	space
spank	spank
span	span
sparkle	sparkle
spark	spark
spat	spat
spatter	spatter
specialise	specialisation
specialize	specialization
speciate	speciation
specify	specification
speculate	speculation
speechify	speech
speed	speed
